Dependency name,Version,Licence,Copyright,Link to repo
nodemon,2.0.22,MIT,Remy Sharp,https://github.com/remy/nodemon
axios,1.5.0,MIT,Matt Zabriskie,https://github.com/axios/axios
cookie-parser,1.4.6,MIT,TJ Holowaychuk,https://github.com/expressjs/cookie-parser
cors,2.8.5,MIT,Troy Goode,https://github.com/expressjs/cors
date-fns,2.30.0,MIT,null,https://github.com/date-fns/date-fns
debug,4.3.4,MIT,Josh Junon,https://github.com/debug-js/debug
docx,8.2.2,MIT,Dolan Miu,https://github.com/dolanmiu/docx
express-session,1.17.3,MIT,TJ Holowaychuk,https://github.com/expressjs/session
express,4.18.2,MIT,TJ Holowaychuk,https://github.com/expressjs/express
luxon,3.4.3,MIT,Isaac Cambron,https://github.com/moment/luxon
socket.io,4.7.2,MIT,null,https://github.com/socketio/socket.io
subtitle,4.2.1,MIT,Guilherme Santiago,https://github.com/gsantiago/subtitle.js
buffer,6.0.3,MIT,Feross Aboukhadijeh,https://github.com/feross/buffer
date-fns,2.30.0,MIT,null,https://github.com/date-fns/date-fns
milligram,1.4.1,MIT,CJ Patoilo,https://github.com/milligram/milligram
parcel,2.9.3,MIT,null,https://github.com/parcel-bundler/parcel
socket.io-client,4.7.2,MIT,null,https://github.com/socketio/socket.io-client
tui-pagination,3.4.1,MIT,NHN FE Development Team,https://github.com/nhn/tui.pagination
debug,4.3.4,MIT,Josh Junon,https://github.com/debug-js/debug
dotenv,16.3.1,BSD-2-Clause,null,https://github.com/motdotla/dotenv
eventemitter3,5.0.1,MIT,Arnout Kazemier,https://github.com/primus/eventemitter3
mqtt,4.3.7,MIT,null,https://github.com/mqttjs/MQTT.js
pg,8.11.3,MIT,Brian Carlson,https://github.com/brianc/node-postgres
sequelize,6.33.0,MIT,null,https://github.com/sequelize/sequelize
pg,8.11.3,MIT,Brian Carlson,https://github.com/brianc/node-postgres
sequelize-cli,6.6.1,MIT,null,https://github.com/sequelize/cli
sequelize,6.33.0,MIT,null,https://github.com/sequelize/sequelize
cookie-parser,1.4.6,MIT,TJ Holowaychuk,https://github.com/expressjs/cookie-parser
cors,2.8.5,MIT,Troy Goode,https://github.com/expressjs/cors
debug,4.3.4,MIT,Josh Junon,https://github.com/debug-js/debug
express-session,1.17.3,MIT,TJ Holowaychuk,https://github.com/expressjs/session
express,4.18.2,MIT,TJ Holowaychuk,https://github.com/expressjs/express
uuid,9.0.1,MIT,null,https://github.com/uuidjs/uuid
assert,2.1.0,MIT,null,https://github.com/browserify/commonjs-assert
debug,4.3.4,MIT,Josh Junon,https://github.com/debug-js/debug
esm,3.2.25,MIT,John-David Dalton,https://github.com/standard-things/esm
gstreamer-superficial,1.7.4,MIT,Daniel Turing,https://github.com/dturing/node-gstreamer-superficial
microsoft-cognitiveservices-speech-sdk,1.32.0,MIT,Microsoft Corporation,https://github.com/Microsoft/cognitive-services-speech-sdk-js
mocha,10.2.0,MIT,TJ Holowaychuk,https://github.com/mochajs/mocha
uuid,9.0.1,MIT,null,https://github.com/uuidjs/uuid
ws,8.14.1,MIT,Einar Otto Stangvik,https://github.com/websockets/ws
